web-scraper-order,web-scraper-start-url,festival_liste,festival_liste-href,Status,Datum,Datum_Plz_Ort_Addresse_Land,Title,Inhalt,Artist,Links,Links-href
"1591796924-4693","https://www.festivalplaner.de/festivals","Electric Castle","https://www.festivalplaner.de/festival/electric-castle","null","15.07. - 19.07.2020","15.07. - 19.07.2020 noch 35 Tage

                    407105 - Cluj-Napoca

                    Banffy Castle

                    Rumänien","","","Fisher","",""
"1591796556-3281","https://www.festivalplaner.de/festivals","Hurricane","https://www.festivalplaner.de/festival/hurricane","VERLEGT","18.06. - 20.06.2021","18.06. - 20.06.2021 noch 373 Tage

                    27383 - Scheeßel

                    Eichenring

                    Deutschland","","","The Lumineers","",""
"1591797013-5111","https://www.festivalplaner.de/festivals","Docklands Festival","https://www.festivalplaner.de/festival/docklands-festival","null","13.06.2020","13.06.2020 noch 3 Tage

                    48155 - Münster

                    Am Hawerkamp

                    Deutschland","","","Marcus Worgull","",""
"1591796719-3944","https://www.festivalplaner.de/festivals","Royal Arena","https://www.festivalplaner.de/festival/royal-arena","ABGESAGT","21.08. - 23.08.2020","21.08. - 23.08.2020 noch 72 Tage

                    CH-2552 - Orpund

                    Römerareal

                    Schweiz","","","Chlyklass","",""
"1591796724-3965","https://www.festivalplaner.de/festivals","Obstwiesenfestival","https://www.festivalplaner.de/festival/obstwiesenfestival","null","20.08. - 22.08.2020","20.08. - 22.08.2020 noch 71 Tage

                    89160 - Dornstadt

                    Festivalgelände Lerchenberg

                    Deutschland","","","Loud Packers","",""
"1591796932-4777","https://www.festivalplaner.de/festivals","Exit Festival","https://www.festivalplaner.de/festival/exit-festival","null","09.07. - 12.07.2020","09.07. - 12.07.2020 noch 29 Tage

                    21000 - Novi Sad

                    Festung Petrovaradin

                    Serbien/Montenegro","","","Armada","",""
"1591796805-4273","https://www.festivalplaner.de/festivals","Finkenbach Festival","https://www.festivalplaner.de/festival/finkenbach-festival","null","07.08. - 09.08.2020","07.08. - 09.08.2020 noch 58 Tage

                    64757 - Rothenberg

                    Festivalgelände

                    Deutschland","","","Blackballed","",""
"1591796686-3799","https://www.festivalplaner.de/festivals","Panama Open Air","https://www.festivalplaner.de/festival/panama-open-air","VERLEGT","04.09. - 05.09.2020","04.09. - 05.09.2020 noch 86 Tage

                    53175 - Bonn

                    Rheinaue Park

                    Deutschland","","","Âme","",""
"1591796500-2963","https://www.festivalplaner.de/festivals","Rock das Ding","https://www.festivalplaner.de/festival/rock-das-ding-1","null","24.07.2021","24.07.2021 noch 409 Tage

                    31609 - Balge

                    Zum Flugplatz

                    Deutschland","","","Seven Thorns","",""
"1591796805-4278","https://www.festivalplaner.de/festivals","Finkenbach Festival","https://www.festivalplaner.de/festival/finkenbach-festival","null","07.08. - 09.08.2020","07.08. - 09.08.2020 noch 58 Tage

                    64757 - Rothenberg

                    Festivalgelände

                    Deutschland","","","Okta Logue","",""
"1591796669-3668","https://www.festivalplaner.de/festivals","Impericon München","https://www.festivalplaner.de/festival/impericon-muenchen","null","06.09.2020","06.09.2020 noch 88 Tage

                    80639 - München

                    Zenith - Die Kulturhalle

                    Deutschland","","","The Plot In You","",""
"1591796593-3394","https://www.festivalplaner.de/festivals","Wave-Gotik-Treffen","https://www.festivalplaner.de/festival/wave-gotik-treffen","null","21.05. - 24.05.2021","21.05. - 24.05.2021 noch 345 Tage

                    04103 - Leipzig

                    verschiedene Locations

                    Deutschland","Besucher","ca. 21.000","","null",""
"1591796893-4587","https://www.festivalplaner.de/festivals","Highway To Kell Open Air","https://www.festivalplaner.de/festival/highway-to-kell-open-air","null","18.07.2020","18.07.2020 noch 38 Tage

                    54427 - Kell am See

                    Festivalwiese an der L143

                    Deutschland","Besucher","ca. 2500","","null",""
"1591796790-4162","https://www.festivalplaner.de/festivals","Summer Breeze","https://www.festivalplaner.de/festival/summer-breeze","null","12.08. - 15.08.2020","12.08. - 15.08.2020 noch 63 Tage

                    91550 - Dinkelsbühl

                    Flugplatz Dinkelsbühl-Sinbronn

                    Deutschland","","","Eisregen","",""
"1591796500-2953","https://www.festivalplaner.de/festivals","Rock das Ding","https://www.festivalplaner.de/festival/rock-das-ding-1","null","24.07.2021","24.07.2021 noch 409 Tage

                    31609 - Balge

                    Zum Flugplatz

                    Deutschland","Tickets","28,00 Euro                                       » Tickets kaufen","","» Tickets kaufen","http://www.rock-das-ding.de/shop-tickets/"
